1,Jistebník,Czech Republic,44606,Yes
2,Umbuldamar,Indonesia,57782,Yes
3,Xinhui,China,36049,Yes
4,Ciudad Ojeda,Venezuela,19171,No
5,Milano,Italy,38442,No
6,Fundong,Cameroon,18949,No
7,Surup,Philippines,71113,No
8,Hyères,France,30279,No
9,Jiepai,China,30304,Yes
10,Luojiang,China,47541,Yes
11,Kedungtaman,Indonesia,69219,No
12,Bassar,Togo,11085,No
13,Rawannawi Village,Kiribati,39527,Yes
14,Tópaga,Colombia,21298,No
15,Santa Isabel,Brazil,82401,No
16,Baiima,Sierra Leone,97737,No
17,Qabqir,China,68055,Yes
18,Rájec-Jestřebí,Czech Republic,68341,Yes
19,Houmt Souk,Tunisia,66933,Yes
20,Magong,China,92763,Yes
21,Changqiao,China,84452,No
22,Purut,Indonesia,99978,No
23,Zhongbu,China,15780,Yes
24,Genova,Italy,84453,No
25,Bukomansimbi,Uganda,20793,No
26,Champaign,United States,69782,Yes
27,Winong,Indonesia,52369,No
28,Smołdzino,Poland,79801,No
29,Buchanan,Liberia,13260,No
30,Birendranagar,Nepal,54657,Yes
31,Bartolomé Masó,Cuba,64255,No
32,Saint-Dié-des-Vosges,France,81950,No
33,Rawang,Malaysia,63627,No
34,Kandi,Benin,60324,Yes
35,Kangaslampi,Finland,73423,No
36,Kudang,Indonesia,57452,No
37,Ćićevac,Serbia,97181,Yes
38,Bydgoszcz,Poland,21278,No
39,Pulian,China,97897,No
40,San Casimiro,Venezuela,81997,No
41,Gojō,Japan,77084,No
42,Ust’-Omchug,Russia,38282,Yes
43,Jiazhi,China,86504,Yes
44,Wangchuanchang,China,62340,Yes
45,Chabany,Ukraine,16609,Yes
46,Morani,Macedonia,52432,No
47,Łapczyca,Poland,74353,Yes
48,Vaudreuil-Dorion,Canada,64738,Yes
49,Grazhdanka,Russia,13281,Yes
50,San Francisco,Venezuela,38390,No
51,Potrerillos Arriba,Panama,29393,Yes
52,Baharly,Turkmenistan,55267,Yes
53,Phôngsali,Laos,39540,No
54,Semënovskoye,Russia,19680,Yes
55,Novosemeykino,Russia,20888,No
56,Jiaocha,China,78537,Yes
57,Furongqiao,China,78448,No
58,Vila Maior,Portugal,80427,Yes
59,Maumere,Indonesia,48867,Yes
60,Hongtian,China,51691,No
61,Padangtiji,Indonesia,61464,No
62,Boende,Democratic Republic of the Congo,14212,No
63,Dunaivtsi,Ukraine,64154,No
64,Ārifwāla,Pakistan,23465,No
65,Huimin,China,97539,Yes
66,Vladivostok,Russia,33153,No
67,Dan Sadau,Nigeria,20799,No
68,Bangeran,Indonesia,24786,Yes
69,Colorado Springs,United States,53483,No
70,Zahedan,Iran,86456,Yes
71,Siepraw,Poland,16292,No
72,Xiushi,China,82450,No
73,Santarém,Portugal,23860,Yes
74,La Calera,Argentina,19563,No
75,Gyōda,Japan,75602,Yes
76,Kingston,New Zealand,42361,No
77,Degeberga,Sweden,94709,No
78,Puyehue,Chile,81893,No
79,Yangzi,China,13265,Yes
80,Islamey,Russia,47135,No
81,Minyue,China,33821,Yes
82,Tādif,Syria,76652,Yes
83,Tuchola,Poland,71951,No
84,Lusacan,Philippines,16767,Yes
85,Karanganyar,Indonesia,32263,No
86,Rizó,Greece,89287,No
87,Qaraçuxur,Azerbaijan,91367,Yes
88,Ustynivka,Ukraine,97958,No
89,Szeged,Hungary,65345,Yes
90,Murów,Poland,37490,No
91,Yolöten,Turkmenistan,94527,Yes
92,Hupalivka,Ukraine,94795,No
93,Bangxi,China,69939,No
94,Breu,Peru,34318,Yes
95,Łaskarzew,Poland,45451,Yes
96,Carrigtwohill,Ireland,91459,Yes
97,Lyubertsy,Russia,38802,No
98,Nama,Philippines,86260,Yes
99,Chengdong,China,89918,No
100,Paris 06,France,27168,No
